id;id_produto;id_pessoa;referencia;preco_compra;multiplicador;divisor
159;10387;0;7892840817343;0.000;0.000;0.000
160;10388;0;7892840817190;0.000;0.000;0.000
161;10391;0;7894900321753;0.000;0.000;0.000
162;10396;0;7896213004903;0.000;0.000;0.000
163;10397;0;7896213004903;0.000;0.000;0.000
164;10398;0;7891000110829;0.000;0.000;0.000
165;10412;0;7893249711614;0.000;0.000;0.000
166;10413;0;7896369632968;0.000;0.000;0.000
167;10417;0;7891132082285;0.000;0.000;0.000
168;10418;0;7891132082421;0.000;0.000;0.000
169;10419;0;7891132082384;0.000;0.000;0.000
170;10420;0;7891132082360;0.000;0.000;0.000
171;10421;0;7891132083107;0.000;0.000;0.000
172;10422;0;7893249711508;0.000;0.000;0.000
173;10424;0;7891000118108;0.000;0.000;0.000
174;10425;0;7891000310236;0.000;0.000;0.000
175;10426;0;202400008782;0.000;0.000;0.000
176;10427;0;7896213004927;0.000;0.000;0.000
177;10428;0;7898901400189;0.000;0.000;0.000
178;10429;0;7891150077539;0.000;0.000;0.000
179;10430;0;7891150068315;0.000;0.000;0.000
180;10431;0;7898215150800;0.000;0.000;0.000
181;10432;0;7894900660302;0.000;0.000;0.000
182;10433;0;7896024760395;0.000;0.000;0.000
183;10434;0;7892840817206;0.000;0.000;0.000
184;10435;0;7893249333007;0.000;0.000;0.000
185;10436;0;7893249748092;0.000;0.000;0.000
186;10437;0;7893249875156;0.000;0.000;0.000
187;10438;0;7893249875149;0.000;0.000;0.000
188;10439;1;7893249174129;0.000;0.000;0.000
189;10440;0;7893249102344;0.000;0.000;0.000
190;10441;0;7893249102351;0.000;0.000;0.000
191;10442;0;7893249380537;0.000;0.000;0.000
192;10443;0;7893249381626;0.000;0.000;0.000
193;10444;0;7893249381558;0.000;0.000;0.000
194;10445;0;7893249381640;0.000;0.000;0.000
195;10446;0;7893249381589;0.000;0.000;0.000
196;10447;0;7893249162270;0.000;0.000;0.000
197;10448;0;7893249381480;0.000;0.000;0.000
198;10449;0;7893249344430;0.000;0.000;0.000
199;10450;0;7893249844251;0.000;0.000;0.000
200;10451;0;7893249344416;0.000;0.000;0.000
201;10452;0;7891022855678;0.000;0.000;0.000
202;10454;0;7896213004927;0.000;0.000;0.000
203;10455;0;7896292310407;0.000;0.000;0.000
204;10456;0;7891999009012;0.000;0.000;0.000
205;10457;0;7898118392239;0.000;0.000;0.000
206;10458;0;7898118392215;0.000;0.000;0.000
207;10459;0;7898118392222;0.000;0.000;0.000
208;10472;0;7891000241776;0.000;0.000;0.000
209;10474;0;606529724726;0.000;0.000;0.000
210;10475;0;606529724719;0.000;0.000;0.000
211;10476;0;7896013570226;0.000;0.000;0.000
212;10477;0;7896013568414;0.000;0.000;0.000
213;10478;0;7896013570219;0.000;0.000;0.000
214;10479;0;7896013570202;0.000;0.000;0.000
247;10512;0;7898623954076;0.000;0.000;0.000
